"Featureid2","Featureid","tubeID","IndID","NestID","SampleForm","VisualInsp","TEFPCR","FSSC","FSSC_strains","FSSCAbundance","Stage","FSSC2"
"113-ITS","113","Pu.ACN1H3","H3N1","N1","Egg","EviH","EFiPos",1,1,5725,"HatchedEgg","FSSC_Infected"
"1201-E-ITS","1201-E","Pu.NHE33_Ext","NHE33","12","Egg","EviUn","EFiPos",1,4,17265,"UnhatchedEggED","FSSC_Infected"
"125-ITS","125","Pu.NHE1","NHE01","N1","Egg","EviH","EFiPos",1,3,16033,"UnhatchedEggED","FSSC_Infected"
"126-ITS","126","Pu.NHE2","NHE2","N1","Egg","EviUn","EFiPos",1,1,16189,"UnhatchedEggED","FSSC_Infected"
"127-ITS","127","Pu.NHE3","NHE03","N1","Egg","EviUn","EFiPos",1,2,3810,"UnhatchedEggED","FSSC_Infected"
"1301-2-ITS","1301","H1N5","H1N5","N13","Egg","EviH","EFiNeg",0,0,0,"HatchedEgg","PCR(-)/NoFSSC"
"1304-2-ITS","1304","Pu.NHE12","NHE12","N13","Egg","EviH","EFiNeg",0,0,0,"UnhatchedEggLD","PCR(-)/NoFSSC"
"1305-I-ITS","1305-I","Pu.NHE13_Int","NHE13","N13","Egg","EviUn","EFiNeg",1,1,24,"UnhatchedEggED","FSSC_Infected"
"1306-ITS","1306","Pu.NHE14","NHE14","N13","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"1307-ITS","1307","Pu.NHE36","NHE36","N13","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"1401-ITS","1401","Pu.NHE5","NHE5","14","Egg","EviUn","EFiPos",1,4,9406,"UnhatchedEggED","FSSC_Infected"
"1403-ITS","1403","Pu.NHE7","NHE07","14","Egg","EviUn","EFiPos",1,1,10,"UnhatchedEggLD","FSSC_Infected"
"1501-2-ITS","1501","H1N7","H1N7","N15","Egg","EviH","EFiPos",1,1,4906,"HatchedEgg","FSSC_Infected"
"1504-ITS","1504","H2N7","H2N7","N15","Egg","EviH","EFiPos",1,1,7967,"HatchedEgg","FSSC_Infected"
"1506-E-ITS","1506-E","NHE35_Ext","NHE35","N15","Egg","EviUn","EFiPos",1,1,21,"UnhatchedEggED","FSSC_Infected"
"1508-ITS","1508","NHE62","NHE62","N15","Egg","EviUn","EFiPos",1,1,14350,"UnhatchedEggED","FSSC_Infected"
"1601-ITS","1601","H1N8","H1N8","N16","Egg","EviUn","EFiPos",1,3,20604,"HatchedEgg","FSSC_Infected"
"1603-E-ITS","1603-E","Pu.NHE57_Ext","NHE57","N16","Egg","EviUn","EFiNeg",1,1,12,"UnhatchedEggLD","FSSC_Infected"
"1604-ITS","1604","Pu.NHE78","NHE78","N16","Egg","EviUn","EFiPos",1,5,16358,"UnhatchedEggED","FSSC_Infected"
"1701-ITS","1701","Pu.NHE56","NHE56","N17","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggLD","PCR(-)/NoFSSC"
"1901-I-ITS","1901-I","Pu.NHE20_Int","NHE20","19","Egg","EviUn","EFiPos",1,2,18841,"UnhatchedEggED","FSSC_Infected"
"1902-ITS","1902","Pu.NHE21","NHE21","19","Egg","EviUn","EFiPos",1,2,15853,"UnhatchedEggED","FSSC_Infected"
"2001-E-ITS","2001-E","Pu.NHE24_Ext","NHE24","20","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"2002-ITS","2002","Pu.NHE25_Int","NHE25","20","Egg","EviUn","EFiNeg",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"2003-ITS","2003","Pu.NHE42","NHE42","20","Egg","EviH","EFiNeg","NA","NA",0,"UnhatchedEggED","PCR(-)/NoFSSC"
"2004-ITS","2004","Pu.NHE43","NHE43","20","Egg","EviUn","EFiPos",1,1,5988,"UnhatchedEggED","FSSC_Infected"
"201-ITS","201","Pu.NHE99","NHE99","N2","Egg","EviUn","EFiPos",1,2,18948,"UnhatchedEggED","FSSC_Infected"
"202-ITS","202","Pu.NHE100","NHE100","N2","Egg","EviUn","EFiPos",1,2,18224,"UnhatchedEggED","FSSC_Infected"
"204-ITS","204","Pu.NHE102","NHE102","N2","Egg","EviUn","EFiPos",1,2,15307,"UnhatchedEggED","FSSC_Infected"
"2101-ITS","2101","Pu.NHE48_Int","NHE48","21","Egg","EviUn","EFiPos",1,1,32,"UnhatchedEggED","FSSC_Infected"
"2102-ITS","2102","Pu.NHE49","NHE49","21","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"2103-ITS","2103","Pu.NHE50","NHE50","21","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"2219-2-ITS","2219","Pu.ACN2H3","H3N2","N22","Egg","EviH","EFiNeg","NA","NA",0,"HatchedEgg","PCR(-)/NoFSSC"
"2225-ITS","2225","Pu.NHE11_Int","NHE11","N22","Egg","EviUn","EFiPos",1,1,17710,"UnhatchedEggED","FSSC_Infected"
"2302-ITS","2302","Pu.NHE74","NHE74","23","Egg","EviUn","EFiPos",1,1,681,"UnhatchedEggED","FSSC_Infected"
"2303-ITS","2303","Pu.NHE75","NHE75","23","Egg","EviUn","EFiPos",1,3,3811,"UnhatchedEggED","FSSC_Infected"
"2304-ITS","2304","Pu.NHE76","NHE76","23","Egg","EviH","EFiNeg",1,1,3,"UnhatchedEggED","FSSC_Infected"
"2401-2-ITS","2401","Pu.ACN9H1","H1N9","N24","Egg","EviH","EFiPos",0,0,0,"HatchedEgg","PCR(-)/NoFSSC"
"2403-ITS","2403","Pu.NHE59","NHE59","N24","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"2404-ITS","2404","Pu.NHE60","NHE60","N24","Egg","EviH","EFiPos",1,1,1,"UnhatchedEggED","FSSC_Infected"
"2406-ITS","2406","Pu.NHE72","NHE72","N24","Egg","EviUn","EFiPos",1,3,18535,"UnhatchedEggED","FSSC_Infected"
"2501-ITS","2501","Pu.NHE15","NHE15","25","Egg","EviUn","EFiPos",1,3,5410,"UnhatchedEggED","FSSC_Infected"
"2502-ITS","2502","Pu.NHE16","NHE16","25","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"2601-ITS","2601","Pu.NHE67","NHE67","N26","Egg","EviUn","EFiPos",1,1,13310,"UnhatchedEggED","FSSC_Infected"
"2602-ITS","2602","Pu.NHE68","NHE68","N26","Egg","EviUn","EFiPos",1,1,17727,"UnhatchedEggED","FSSC_Infected"
"2603-ITS","2603","Pu.NHE69","NHE69","N26","Egg","EviUn","EFiPos",1,1,14550,"UnhatchedEggED","FSSC_Infected"
"2604-ITS","2604","Pu.NHE70","NHE70","N26","Egg","EviUn","EFiPos",1,1,15,"UnhatchedEggED","FSSC_Infected"
"2803-ITS","2803","Pu.ACN4H2","H2N4","N28","Egg","EviH","EFiNeg","NA","NA",0,"HatchedEgg","PCR(-)/NoFSSC"
"2812-ITS","2812","Pu.ACN4H3","H3N4","N28","Egg","EviUn","EFiNeg","NA","NA",0,"HatchedEgg","PCR(-)/NoFSSC"
"2821-ITS","2821","Pu.ACN4H4","H4N4","N28","Egg","EviUn","EFiNeg","NA","NA",0,"HatchedEgg","PCR(-)/NoFSSC"
